taxon_ids,user_supplied_name,submitted_name,matched_name,data_source_title,score,family,class
"Carollia castanea,Carollia perspicillata",Carollia perspicillata,Carollia perspicillata,Carollia perspicillata,NCBI,0.988,Phyllostomidae,Mammalia
Larus cachinnans,Larus cachinnans,Larus cachinnans,Larus cachinnans,NCBI,0.988,Laridae,Aves
Sterna,Sterna,Sterna,Sterna,Catalogue of Life,0.75,Laridae,Aves
Vireo cassinii,Vireo cassinii,Vireo cassinii,Vireo cassinii,NCBI,0.988,Vireonidae,Aves
Felis catus,Felis catus,Felis catus,Felis catus,NCBI,0.988,Felidae,Mammalia
"Milvus milvus,Neophron percnopterus,Aegypius monachus",Milvus milvus,Milvus milvus,Milvus milvus,NCBI,0.988,Accipitridae,Aves
"Milvus milvus,Neophron percnopterus,Aegypius monachus",Neophron percnopterus,Neophron percnopterus,Neophron percnopterus,NCBI,0.988,Accipitridae,Aves
"Milvus milvus,Neophron percnopterus,Aegypius monachus",Aegypius monachus,Aegypius monachus,Aegypius monachus,NCBI,0.988,Accipitridae,Aves
"Neophron percnopterus,Aquila adalberti",Neophron percnopterus,Neophron percnopterus,Neophron percnopterus,NCBI,0.988,Accipitridae,Aves
"Neophron percnopterus,Aquila adalberti",Aquila adalberti,Aquila adalberti,Aquila adalberti,NCBI,0.988,Accipitridae,Aves
"Ciconia nigra,Neophron percnopterus",Ciconia nigra,Ciconia nigra,Ciconia nigra,NCBI,0.988,Ciconiidae,Aves
"Ciconia nigra,Neophron percnopterus",Neophron percnopterus,Neophron percnopterus,Neophron percnopterus,NCBI,0.988,Accipitridae,Aves
"Cervus ,Cervus elaphus",Cervus,Cervus,Cervus,Catalogue of Life,0.75,Cervidae,Mammalia
"Cervus ,Cervus elaphus",Cervus elaphus,Cervus elaphus,Cervus elaphus,NCBI,0.988,Cervidae,Mammalia
Cervus elaphus,Cervus elaphus,Cervus elaphus,Cervus elaphus,NCBI,0.988,Cervidae,Mammalia
Acinonyx jubatus,Acinonyx jubatus,Acinonyx jubatus,Acinonyx jubatus,NCBI,0.988,Felidae,Mammalia
Puffinus yelkouan,Puffinus yelkouan,Puffinus yelkouan,Puffinus yelkouan,NCBI,0.988,Procellariidae,Aves
Pygoscelis antarcticus,Pygoscelis antarcticus,Pygoscelis antarcticus,Pygoscelis antarcticus,NCBI,0.988,Spheniscidae,Aves
Chlamydotis undulata,Chlamydotis undulata,Chlamydotis undulata,Chlamydotis undulata,NCBI,0.988,Otididae,Aves
Ciconia abdimii,Ciconia abdimii,Ciconia abdimii,Ciconia abdimii,NCBI,0.988,Ciconiidae,Aves
Ciconia ciconia,Ciconia ciconia,Ciconia ciconia,Ciconia ciconia,NCBI,0.988,Ciconiidae,Aves
Anas cyanoptera,Anas cyanoptera,Anas cyanoptera,Anas cyanoptera,NCBI,0.988,Anatidae,Aves
Circaetus gallicus,Circaetus gallicus,Circaetus gallicus,Circaetus gallicus,NCBI,0.988,Accipitridae,Aves
Circus pygargus,Circus pygargus,Circus pygargus,Circus pygargus,NCBI,0.988,Accipitridae,Aves
Circus maillardi,Circus maillardi,Circus maillardi,Circus maillardi,NCBI,0.988,Accipitridae,Aves
Stenella clymene,Stenella clymene,Stenella clymene,Stenella clymene,NCBI,0.988,Delphinidae,Mammalia
Nasua narica,Nasua narica,Nasua narica,Nasua narica,NCBI,0.988,Procyonidae,Mammalia
Pecari tajacu,Pecari tajacu,Pecari tajacu,Pecari tajacu,NCBI,0.988,Tayassuidae,Mammalia
Ochotona collaris,Ochotona collaris,Ochotona collaris,Ochotona collaris,NCBI,0.988,Ochotonidae,Mammalia
Columba leuconota,Columba leuconota,Columba leuconota,Columba leuconota,NCBI,0.988,Columbidae,Aves
Mergus merganser,Mergus merganser,Mergus merganser,Mergus merganser,NCBI,0.988,Anatidae,Aves
Cuculus canorus,Cuculus canorus,Cuculus canorus,Cuculus canorus,NCBI,0.988,Cuculidae,Aves
Delphinus delphis,Delphinus delphis,Delphinus delphis,Delphinus delphis,NCBI,0.988,Delphinidae,Mammalia
Somateria mollissima,Somateria mollissima,Somateria mollissima,Somateria mollissima,NCBI,0.988,Anatidae,Aves
"Somateria mollissima,Somateria spectabilis",Somateria mollissima,Somateria mollissima,Somateria mollissima,NCBI,0.988,Anatidae,Aves
"Somateria mollissima,Somateria spectabilis",Somateria spectabilis,Somateria spectabilis,Somateria spectabilis,NCBI,0.988,Anatidae,Aves
Uria aalge,Uria aalge,Uria aalge,Uria aalge,NCBI,0.988,Alcidae,Aves
Chordeiles minor,Chordeiles minor,Chordeiles minor,Chordeiles minor,NCBI,0.988,Caprimulgidae,Aves
Corvus corax,Corvus corax,Corvus corax,Corvus corax,NCBI,0.988,Corvidae,Aves
Tringa totanus,Tringa totanus,Tringa totanus,Tringa totanus,NCBI,0.988,Scolopacidae,Aves
Tadorna tadorna,Tadorna tadorna,Tadorna tadorna,Tadorna tadorna,NCBI,0.988,Anatidae,Aves
Gallinago gallinago,Gallinago gallinago,Gallinago gallinago,Gallinago gallinago,NCBI,0.988,Scolopacidae,Aves
"Gallinago gallinago,Larus canus",Gallinago gallinago,Gallinago gallinago,Gallinago gallinago,NCBI,0.988,Scolopacidae,Aves
"Gallinago gallinago,Larus canus",Larus canus,Larus canus,Larus canus,NCBI,0.988,Laridae,Aves
Sterna hirundo,Sterna hirundo,Sterna hirundo,Sterna hirundo,NCBI,0.988,Laridae,Aves
Columba palumbus,Columba palumbus,Columba palumbus,Columba palumbus,NCBI,0.988,Columbidae,Aves
Protonotaria citrea,Protonotaria citrea,Protonotaria citrea,Protonotaria citrea,NCBI,0.988,Parulidae,Aves
Oporornis agilis,Oporornis agilis,Oporornis agilis,Oporornis agilis,NCBI,0.988,Parulidae,Aves
"Aquila ,Aquila pomarina",Aquila,Aquila,Aquila,Catalogue of Life,0.75,Accipitridae,Aves
"Aquila ,Aquila pomarina",Aquila pomarina,Aquila pomarina,Aquila pomarina,Freebase,0.988,Accipitridae,Aves
Anser brachyrhynchus,Anser brachyrhynchus,Anser brachyrhynchus,Anser brachyrhynchus,NCBI,0.988,Anatidae,Aves
"Coragyps atratus,Buteo swainsoni",Coragyps atratus,Coragyps atratus,Coragyps atratus,NCBI,0.988,Cathartidae,Aves
"Coragyps atratus,Buteo swainsoni",Buteo swainsoni,Buteo swainsoni,Buteo swainsoni,NCBI,0.988,Accipitridae,Aves
Corvus corone,Corvus corone,Corvus corone,Corvus corone,NCBI,0.988,Corvidae,Aves
Corvus splendens,Corvus splendens,Corvus splendens,Corvus splendens,NCBI,0.988,Corvidae,Aves
"Branta leucopsis,Anser albifrons,Anser anser",Branta leucopsis,Branta leucopsis,Branta leucopsis,NCBI,0.988,Anatidae,Aves
"Branta leucopsis,Anser albifrons,Anser anser",Anser albifrons,Anser albifrons,Anser albifrons,NCBI,0.988,Anatidae,Aves
"Branta leucopsis,Anser albifrons,Anser anser",Anser anser,Anser anser,Anser anser,NCBI,0.988,Anatidae,Aves
Balearica pavonina,Balearica pavonina,Balearica pavonina,Balearica pavonina,NCBI,0.988,Gruidae,Aves
Grus nigricollis,Grus nigricollis,Grus nigricollis,Grus nigricollis,NCBI,0.988,Gruidae,Aves
Thalasseus bergii,Thalasseus bergii,Thalasseus bergii,Thalasseus bergii,NCBI,0.988,Laridae,Aves
Ziphius cavirostris,Ziphius cavirostris,Ziphius cavirostris,Ziphius cavirostris,NCBI,0.988,Hyperoodontidae,Mammalia
Cygnus olor,Cygnus olor,Cygnus olor,Cygnus olor,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas penelope,Anas querquedula,Anas clypeata",Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas penelope,Anas querquedula,Anas clypeata",Anas strepera,Anas strepera,Anas strepera,Freebase,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas penelope,Anas querquedula,Anas clypeata",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas penelope,Anas querquedula,Anas clypeata",Anas crecca,Anas crecca,Anas crecca,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas penelope,Anas querquedula,Anas clypeata",Anas penelope,Anas penelope,Anas penelope,Freebase,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas penelope,Anas querquedula,Anas clypeata",Anas querquedula,Anas querquedula,Anas querquedula,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas penelope,Anas querquedula,Anas clypeata",Anas clypeata,Anas clypeata,Anas clypeata,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas querquedula",Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas querquedula",Anas strepera,Anas strepera,Anas strepera,Freebase,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas querquedula",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas querquedula",Anas crecca,Anas crecca,Anas crecca,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas strepera,Anas acuta,Anas crecca,Anas querquedula",Anas querquedula,Anas querquedula,Anas querquedula,NCBI,0.988,Anatidae,Aves
"Anas acuta,Anas penelope",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988,Anatidae,Aves
"Anas acuta,Anas penelope",Anas penelope,Anas penelope,Anas penelope,Freebase,0.988,Anatidae,Aves
"Anas acuta,Anas crecca,Anas clypeata",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988,Anatidae,Aves
"Anas acuta,Anas crecca,Anas clypeata",Anas crecca,Anas crecca,Anas crecca,NCBI,0.988,Anatidae,Aves
"Anas acuta,Anas crecca,Anas clypeata",Anas clypeata,Anas clypeata,Anas clypeata,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas acuta",Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas acuta",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988,Anatidae,Aves
"Anas acuta,Anas crecca",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988,Anatidae,Aves
"Anas acuta,Anas crecca",Anas crecca,Anas crecca,Anas crecca,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas crecca,Anas querquedula",Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas crecca,Anas querquedula",Anas crecca,Anas crecca,Anas crecca,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas crecca,Anas querquedula",Anas querquedula,Anas querquedula,Anas querquedula,NCBI,0.988,Anatidae,Aves
Anas querquedula,Anas querquedula,Anas querquedula,Anas querquedula,NCBI,0.988,Anatidae,Aves
Bos taurus,Bos taurus,Bos taurus,Bos taurus,NCBI,0.988,Bovidae,Mammalia
"Leopardus pardalis,Puma concolor,Tayassu pecari",Leopardus pardalis,Leopardus pardalis,Leopardus pardalis,NCBI,0.988,Felidae,Mammalia
"Leopardus pardalis,Puma concolor,Tayassu pecari",Puma concolor,Puma concolor,Puma concolor,NCBI,0.988,Felidae,Mammalia
"Leopardus pardalis,Puma concolor,Tayassu pecari",Tayassu pecari,Tayassu pecari,Tayassu pecari,NCBI,0.988,Tayassuidae,Mammalia
Numenius tahitiensis,Numenius tahitiensis,Numenius tahitiensis,Numenius tahitiensis,NCBI,0.988,Scolopacidae,Aves
Pluvialis fulva,Pluvialis fulva,Pluvialis fulva,Pluvialis fulva,NCBI,0.988,Charadriidae,Aves
Erignathus barbatus,Erignathus barbatus,Erignathus barbatus,Erignathus barbatus,NCBI,0.988,Phocidae,Mammalia
"Anser albifrons,Chen caerulescens",Anser albifrons,Anser albifrons,Anser albifrons,NCBI,0.988,Anatidae,Aves
"Anser albifrons,Chen caerulescens",Chen caerulescens,Chen caerulescens,Chen caerulescens,Freebase,0.988,Anatidae,Aves
Anas gracilis,Anas gracilis,Anas gracilis,Anas gracilis,NCBI,0.988,Anatidae,Aves
Dendrocygna arcuata,Dendrocygna arcuata,Dendrocygna arcuata,Dendrocygna arcuata,NCBI,0.988,Anatidae,Aves
Acherontiini,Acherontiini,Acherontiini,Acherontiini,Wikispecies,0.75,Sphingidae,Insecta
Cuon alpinus,Cuon alpinus,Cuon alpinus,Cuon alpinus,NCBI,0.988,Canidae,Mammalia
Somateria fischeri,Somateria fischeri,Somateria fischeri,Somateria fischeri,NCBI,0.988,Anatidae,Aves
Lemur catta,Lemur catta,Lemur catta,Lemur catta,NCBI,0.988,Lemuridae,Mammalia
"Equus ,Bison bonasus",Equus,Equus,Equus,Catalogue of Life,0.75,Equidae,Mammalia
"Equus ,Bison bonasus",Bison bonasus,Bison bonasus,Bison bonasus,NCBI,0.988,Bovidae,Mammalia
Rostrhamus sociabilis,Rostrhamus sociabilis,Rostrhamus sociabilis,Rostrhamus sociabilis,NCBI,0.988,Accipitridae,Aves
Testudo,Testudo,Testudo,Testudo,Catalogue of Life,0.75,Testudinidae,Reptilia
Bison bison,Bison bison,Bison bison,Bison bison,NCBI,0.988,Bovidae,Mammalia
Dendragapus obscurus,Dendragapus obscurus,Dendragapus obscurus,Dendragapus obscurus,NCBI,0.988,Phasianidae,Aves
Balaenoptera acutorostrata,Balaenoptera acutorostrata,Balaenoptera acutorostrata,Balaenoptera acutorostrata,NCBI,0.988,Balaenopteridae,Mammalia
Sula dactylatra,Sula dactylatra,Sula dactylatra,Sula dactylatra,NCBI,0.988,Sulidae,Aves
"Ciconia nigra,Aquila clanga,Aquila pomarina",Ciconia nigra,Ciconia nigra,Ciconia nigra,NCBI,0.988,Ciconiidae,Aves
"Ciconia nigra,Aquila clanga,Aquila pomarina",Aquila clanga,Aquila clanga,Aquila clanga,Freebase,0.988,Accipitridae,Aves
"Ciconia nigra,Aquila clanga,Aquila pomarina",Aquila pomarina,Aquila pomarina,Aquila pomarina,Freebase,0.988,Accipitridae,Aves
Bubo bubo,Bubo bubo,Bubo bubo,Bubo bubo,NCBI,0.988,Strigidae,Aves
"Bubo ,Bubo bubo",Bubo,Bubo,Bubo,Catalogue of Life,0.75,Strigidae,Aves
"Bubo ,Bubo bubo",Bubo bubo,Bubo bubo,Bubo bubo,NCBI,0.988,Strigidae,Aves
Odocoileus hemionus,Odocoileus hemionus,Odocoileus hemionus,Odocoileus hemionus,NCBI,0.988,Cervidae,Mammalia
"Aquila heliaca,Aquila nipalensis",Aquila heliaca,Aquila heliaca,Aquila heliaca,NCBI,0.988,Accipitridae,Aves
"Aquila heliaca,Aquila nipalensis",Aquila nipalensis,Aquila nipalensis,Aquila nipalensis,NCBI,0.988,Accipitridae,Aves
Caprimulgus vociferus,Caprimulgus vociferus,Caprimulgus vociferus,Caprimulgus vociferus,Freebase,0.988,,
"Meleagris ,Meleagris gallopavo",Meleagris,Meleagris,Meleagris,Catalogue of Life,0.75,Phasianidae,Aves
"Meleagris ,Meleagris gallopavo",Meleagris gallopavo,Meleagris gallopavo,Meleagris gallopavo,NCBI,0.988,Phasianidae,Aves
Anodorhynchus leari,Anodorhynchus leari,Anodorhynchus leari,Anodorhynchus leari,NCBI,0.988,Psittacidae,Aves
Falco naumanni,Falco naumanni,Falco naumanni,Falco naumanni,NCBI,0.988,Falconidae,Aves
"Alca torda,Fratercula arctica",Alca torda,Alca torda,Alca torda,NCBI,0.988,Alcidae,Aves
"Alca torda,Fratercula arctica",Fratercula arctica,Fratercula arctica,Fratercula arctica,NCBI,0.988,Alcidae,Aves
"Cerdocyon ,Cerdocyon thous,Chrysocyon brachyurus,Lycalopex vetulus",Cerdocyon,Cerdocyon,Cerdocyon,Catalogue of Life,0.75,Canidae,Mammalia
"Cerdocyon ,Cerdocyon thous,Chrysocyon brachyurus,Lycalopex vetulus",Cerdocyon thous,Cerdocyon thous,Cerdocyon thous,NCBI,0.988,Canidae,Mammalia
"Cerdocyon ,Cerdocyon thous,Chrysocyon brachyurus,Lycalopex vetulus",Chrysocyon brachyurus,Chrysocyon brachyurus,Chrysocyon brachyurus,NCBI,0.988,Canidae,Mammalia
"Cerdocyon ,Cerdocyon thous,Chrysocyon brachyurus,Lycalopex vetulus",Lycalopex vetulus,Lycalopex vetulus,Lycalopex vetulus,NCBI,0.988,Canidae,Mammalia
Reptilia,Reptilia,Reptilia,Reptilia,Catalogue of Life,0.75,,Reptilia
"Chrysocyon brachyurus,Lycalopex vetulus",Chrysocyon brachyurus,Chrysocyon brachyurus,Chrysocyon brachyurus,NCBI,0.988,Canidae,Mammalia
"Chrysocyon brachyurus,Lycalopex vetulus",Lycalopex vetulus,Lycalopex vetulus,Lycalopex vetulus,NCBI,0.988,Canidae,Mammalia
"Tremarctos ornatus,Tapirus pinchaque",Tremarctos ornatus,Tremarctos ornatus,Tremarctos ornatus,NCBI,0.988,Ursidae,Mammalia
"Tremarctos ornatus,Tapirus pinchaque",Tapirus pinchaque,Tapirus pinchaque,Tapirus pinchaque,NCBI,0.988,Tapiridae,Mammalia
"Ardeidae ,Ardea herodias,Egretta thula,Ardea alba",Ardeidae,Ardeidae,Ardeidae,Catalogue of Life,0.75,Ardeidae,Aves
"Ardeidae ,Ardea herodias,Egretta thula,Ardea alba",Ardea herodias,Ardea herodias,Ardea herodias,NCBI,0.988,Ardeidae,Aves
"Ardeidae ,Ardea herodias,Egretta thula,Ardea alba",Egretta thula,Egretta thula,Egretta thula,NCBI,0.988,Ardeidae,Aves
"Ardeidae ,Ardea herodias,Egretta thula,Ardea alba",Ardea alba,Ardea alba,Ardea alba,NCBI,0.988,Ardeidae,Aves
Eidolon helvum,Eidolon helvum,Eidolon helvum,Eidolon helvum,NCBI,0.988,Pteropodidae,Mammalia
Elanus caeruleus,Elanus caeruleus,Elanus caeruleus,Elanus caeruleus,NCBI,0.988,Accipitridae,Aves
Falco eleonorae,Falco eleonorae,Falco eleonorae,Falco eleonorae,NCBI,0.988,Falconidae,Aves
Indotestudo elongata,Indotestudo elongata,Indotestudo elongata,Indotestudo elongata,NCBI,0.988,Testudinidae,Reptilia
Pelecanus crispus,Pelecanus crispus,Pelecanus crispus,Pelecanus crispus,NCBI,0.988,Pelecanidae,Aves
Gyps himalayensis,Gyps himalayensis,Gyps himalayensis,Gyps himalayensis,NCBI,0.988,Accipitridae,Aves
Pelecanus onocrotalus,Pelecanus onocrotalus,Pelecanus onocrotalus,Pelecanus onocrotalus,NCBI,0.988,Pelecanidae,Aves
Otis tarda,Otis tarda,Otis tarda,Otis tarda,NCBI,0.988,Otididae,Aves
"Gyps ,Gyps coprotheres",Gyps,Gyps,Gyps,Catalogue of Life,0.75,Accipitridae,Aves
"Gyps ,Gyps coprotheres",Gyps coprotheres,Gyps coprotheres,Gyps coprotheres,NCBI,0.988,Accipitridae,Aves
Fregata magnificens,Fregata magnificens,Fregata magnificens,Fregata magnificens,NCBI,0.988,Fregatidae,Aves
Equus caballus,Equus caballus,Equus caballus,Equus caballus,NCBI,0.988,Equidae,Mammalia
Botaurus stellaris,Botaurus stellaris,Botaurus stellaris,Botaurus stellaris,NCBI,0.988,Ardeidae,Aves
Fulica atra,Fulica atra,Fulica atra,Fulica atra,NCBI,0.988,Rallidae,Aves
Lynx lynx,Lynx lynx,Lynx lynx,Lynx lynx,NCBI,0.988,Felidae,Mammalia
Platalea leucorodia,Platalea leucorodia,Platalea leucorodia,Platalea leucorodia,NCBI,0.988,Threskiornithidae,Aves
Scolopax rusticola,Scolopax rusticola,Scolopax rusticola,Scolopax rusticola,NCBI,0.988,Scolopacidae,Aves
Capreolus capreolus,Capreolus capreolus,Capreolus capreolus,Capreolus capreolus,NCBI,0.988,Cervidae,Mammalia
Caprimulgus europaeus,Caprimulgus europaeus,Caprimulgus europaeus,Caprimulgus europaeus,NCBI,0.988,Caprimulgidae,Aves
Coracias garrulus,Coracias garrulus,Coracias garrulus,Coracias garrulus,NCBI,0.988,Coraciidae,Aves
Streptopelia turtur,Streptopelia turtur,Streptopelia turtur,Streptopelia turtur,NCBI,0.988,Columbidae,Aves
Amphibia,Amphibia,Amphibia,Amphibia,Catalogue of Life,0.75,,Amphibia
"Gyps coprotheres,Necrosyrtes monachus",Gyps coprotheres,Gyps coprotheres,Gyps coprotheres,NCBI,0.988,Accipitridae,Aves
"Gyps coprotheres,Necrosyrtes monachus",Necrosyrtes monachus,Necrosyrtes monachus,Necrosyrtes monachus,NCBI,0.988,Accipitridae,Aves
"Gyps coprotheres,Gyps africanus",Gyps coprotheres,Gyps coprotheres,Gyps coprotheres,NCBI,0.988,Accipitridae,Aves
"Gyps coprotheres,Gyps africanus",Gyps africanus,Gyps africanus,Gyps africanus,NCBI,0.988,Accipitridae,Aves
"Falco vespertinus,Falco amurensis",Falco vespertinus,Falco vespertinus,Falco vespertinus,NCBI,0.988,Falconidae,Aves
"Falco vespertinus,Falco amurensis",Falco amurensis,Falco amurensis,Falco amurensis,NCBI,0.988,Falconidae,Aves
"Vireo olivaceus,Hylocichla mustelina,Catharus ustulatus",Vireo olivaceus,Vireo olivaceus,Vireo olivaceus,NCBI,0.988,Vireonidae,Aves
"Vireo olivaceus,Hylocichla mustelina,Catharus ustulatus",Hylocichla mustelina,Hylocichla mustelina,Hylocichla mustelina,NCBI,0.988,Turdidae,Aves
"Vireo olivaceus,Hylocichla mustelina,Catharus ustulatus",Catharus ustulatus,Catharus ustulatus,Catharus ustulatus,NCBI,0.988,Turdidae,Aves
"Circus cyaneus,Falco peregrinus,Falco columbarius",Circus cyaneus,Circus cyaneus,Circus cyaneus,NCBI,0.988,Accipitridae,Aves
"Circus cyaneus,Falco peregrinus,Falco columbarius",Falco peregrinus,Falco peregrinus,Falco peregrinus,NCBI,0.988,Falconidae,Aves
"Circus cyaneus,Falco peregrinus,Falco columbarius",Falco columbarius,Falco columbarius,Falco columbarius,NCBI,0.988,Falconidae,Aves
"Dumetella carolinensis,Protonotaria citrea,Vireo olivaceus,Catharus ustulatus",Dumetella carolinensis,Dumetella carolinensis,Dumetella carolinensis,NCBI,0.988,Mimidae,Aves
"Dumetella carolinensis,Protonotaria citrea,Vireo olivaceus,Catharus ustulatus",Protonotaria citrea,Protonotaria citrea,Protonotaria citrea,NCBI,0.988,Parulidae,Aves
"Dumetella carolinensis,Protonotaria citrea,Vireo olivaceus,Catharus ustulatus",Vireo olivaceus,Vireo olivaceus,Vireo olivaceus,NCBI,0.988,Vireonidae,Aves
"Dumetella carolinensis,Protonotaria citrea,Vireo olivaceus,Catharus ustulatus",Catharus ustulatus,Catharus ustulatus,Catharus ustulatus,NCBI,0.988,Turdidae,Aves
Pteropodidae,Pteropodidae,Pteropodidae,Pteropodidae,Catalogue of Life,0.75,Pteropodidae,Mammalia
Acerodon jubatus,Acerodon jubatus,Acerodon jubatus,Acerodon jubatus,NCBI,0.988,Pteropodidae,Mammalia
Pteropus lylei,Pteropus lylei,Pteropus lylei,Pteropus lylei,NCBI,0.988,Pteropodidae,Mammalia
"Tadorna ferruginea,Anas querquedula,Anas clypeata",Tadorna ferruginea,Tadorna ferruginea,Tadorna ferruginea,NCBI,0.988,Anatidae,Aves
"Tadorna ferruginea,Anas querquedula,Anas clypeata",Anas querquedula,Anas querquedula,Anas querquedula,NCBI,0.988,Anatidae,Aves
"Tadorna ferruginea,Anas querquedula,Anas clypeata",Anas clypeata,Anas clypeata,Anas clypeata,NCBI,0.988,Anatidae,Aves
"Tadorna ferruginea,Anas strepera,Anas acuta,Anas querquedula,Anas clypeata",Tadorna ferruginea,Tadorna ferruginea,Tadorna ferruginea,NCBI,0.988,Anatidae,Aves
"Tadorna ferruginea,Anas strepera,Anas acuta,Anas querquedula,Anas clypeata",Anas strepera,Anas strepera,Anas strepera,Freebase,0.988,Anatidae,Aves
"Tadorna ferruginea,Anas strepera,Anas acuta,Anas querquedula,Anas clypeata",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988,Anatidae,Aves
"Tadorna ferruginea,Anas strepera,Anas acuta,Anas querquedula,Anas clypeata",Anas querquedula,Anas querquedula,Anas querquedula,NCBI,0.988,Anatidae,Aves
"Tadorna ferruginea,Anas strepera,Anas acuta,Anas querquedula,Anas clypeata",Anas clypeata,Anas clypeata,Anas clypeata,NCBI,0.988,Anatidae,Aves
"Tadorna ferruginea,Anas strepera,Anas acuta,Anas querquedula",Tadorna ferruginea,Tadorna ferruginea,Tadorna ferruginea,NCBI,0.988,Anatidae,Aves
"Tadorna ferruginea,Anas strepera,Anas acuta,Anas querquedula",Anas strepera,Anas strepera,Anas strepera,Freebase,0.988,Anatidae,Aves
"Tadorna ferruginea,Anas strepera,Anas acuta,Anas querquedula",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988,Anatidae,Aves
"Tadorna ferruginea,Anas strepera,Anas acuta,Anas querquedula",Anas querquedula,Anas querquedula,Anas querquedula,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas acuta,Anas falcata,Anas crecca,Anas formosa,Anas penelope,Anas querquedula,Anas poecilorhyncha",Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas acuta,Anas falcata,Anas crecca,Anas formosa,Anas penelope,Anas querquedula,Anas poecilorhyncha",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas acuta,Anas falcata,Anas crecca,Anas formosa,Anas penelope,Anas querquedula,Anas poecilorhyncha",Anas falcata,Anas falcata,Anas falcata,Freebase,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas acuta,Anas falcata,Anas crecca,Anas formosa,Anas penelope,Anas querquedula,Anas poecilorhyncha",Anas crecca,Anas crecca,Anas crecca,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas acuta,Anas falcata,Anas crecca,Anas formosa,Anas penelope,Anas querquedula,Anas poecilorhyncha",Anas formosa,Anas formosa,Anas formosa,Freebase,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas acuta,Anas falcata,Anas crecca,Anas formosa,Anas penelope,Anas querquedula,Anas poecilorhyncha",Anas penelope,Anas penelope,Anas penelope,Freebase,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas acuta,Anas falcata,Anas crecca,Anas formosa,Anas penelope,Anas querquedula,Anas poecilorhyncha",Anas querquedula,Anas querquedula,Anas querquedula,NCBI,0.988,Anatidae,Aves
"Anas platyrhynchos,Anas acuta,Anas falcata,Anas crecca,Anas formosa,Anas penelope,Anas querquedula,Anas poecilorhyncha",Anas poecilorhyncha,Anas poecilorhyncha,Anas poecilorhyncha,NCBI,0.988,Anatidae,Aves
"Anser indicus,Tadorna ferruginea,Anas acuta,Anas crecca,Larus brunnicephalus,Larus ichthyaetus",Anser indicus,Anser indicus,Anser indicus,NCBI,0.988,Anatidae,Aves
"Anser indicus,Tadorna ferruginea,Anas acuta,Anas crecca,Larus brunnicephalus,Larus ichthyaetus",Tadorna ferruginea,Tadorna ferruginea,Tadorna ferruginea,NCBI,0.988,Anatidae,Aves
"Anser indicus,Tadorna ferruginea,Anas acuta,Anas crecca,Larus brunnicephalus,Larus ichthyaetus",Anas acuta,Anas acuta,Anas acuta,NCBI,0.988,Anatidae,Aves
